Date,Open,High,Low,Close,Adj Close,Volume,dividend_amount,split_coefficient
2012-12-18,144.0,145.5,143.79,145.37,122.967922308,177579280,0.0,1.0
2012-12-19,145.53,145.58,144.24,144.29,122.054354473,150656553,0.0,1.0
2012-12-20,144.38,145.14,143.98,145.12,122.756448272,167906484,0.0,1.0
2012-12-21,142.17,144.09,141.94,142.79,121.649872315,245707986,1.0218,1.0
2012-12-24,142.48,142.56,142.19,142.35,121.275014525,53874548,0.0,1.0
2012-12-26,142.64,142.71,141.35,141.75,120.763844811,105880761,0.0,1.0
2012-12-27,141.79,142.08,139.92,141.56,120.601974402,167731111,0.0,1.0
2012-12-28,140.64,141.42,139.87,140.03,119.298491633,148156789,0.0,1.0
2012-12-31,139.66,142.56,139.54,142.41,121.326131496,243370696,0.0,1.0
2013-01-02,145.11,146.15,144.73,146.06,124.435747253,191699844,0.0,1.0
2013-01-03,145.99,146.37,145.34,145.73,124.154603911,144670984,0.0,1.0
2013-01-04,145.97,146.61,145.67,146.37,124.699851605,116753387,0.0,1.0
2013-01-07,145.85,146.11,145.43,145.97,124.359071796,109872420,0.0,1.0
2013-01-08,145.71,145.91,144.98,145.55,124.001252997,121133837,0.0,1.0
2013-01-09,145.87,146.32,145.64,145.92,124.31647432,90616572,0.0,1.0
2013-01-10,146.73,147.09,145.97,147.08,125.304735766,130545424,0.0,1.0
2013-01-11,147.04,147.15,146.61,147.07,125.296216271,113891272,0.0,1.0
2013-01-14,146.89,147.07,146.43,146.97,125.211021319,89495130,0.0,1.0
2013-01-15,146.29,147.21,146.2,147.07,125.296216271,93129495,0.0,1.0
2013-01-16,146.77,147.28,146.61,147.05,125.27917728,104747927,0.0,1.0
2013-01-17,147.7,148.42,147.15,148.0,126.088529327,133581775,0.0,1.0
2013-01-18,147.97,148.49,147.43,148.33,126.369672669,169850738,0.0,1.0
2013-01-22,148.33,149.13,147.98,149.13,127.051232287,111615740,0.0,1.0
2013-01-23,149.13,149.5,148.86,149.37,127.255700173,104286611,0.0,1.0
2013-01-24,149.15,150.14,149.01,149.41,127.289778154,146167943,0.0,1.0
2013-01-25,149.88,150.25,149.37,150.25,128.005415752,147142564,0.0,1.0
2013-01-28,150.29,150.33,149.51,150.07,127.852064838,113251578,0.0,1.0
2013-01-29,149.77,150.85,149.67,150.66,128.354715057,105606462,0.0,1.0
2013-01-30,150.64,150.94,149.93,150.07,127.852064838,137305441,0.0,1.0
2013-01-31,149.89,150.38,149.6,149.7,127.536843515,108490791,0.0,1.0
2013-02-01,150.65,151.42,150.39,151.24,128.84884578,131103910,0.0,1.0
2013-02-04,150.32,151.27,149.43,149.54,127.400531591,158901804,0.0,1.0
2013-02-05,150.35,151.48,150.29,151.05,128.68697537,113835751,0.0,1.0
2013-02-06,150.52,151.26,150.41,151.16,128.780689818,138641354,0.0,1.0
2013-02-07,151.21,151.35,149.86,150.96,128.610299913,162376010,0.0,1.0
2013-02-08,151.22,151.89,151.22,151.8,129.325937512,103104819,0.0,1.0
2013-02-11,151.74,151.9,151.39,151.77,129.300379027,73707733,0.0,1.0
2013-02-12,151.78,152.3,151.61,152.02,129.513366407,65311038,0.0,1.0
2013-02-13,152.33,152.61,151.72,152.15,129.624119845,82228386,0.0,1.0
2013-02-14,151.69,152.47,151.52,152.29,129.743392778,80765157,0.0,1.0
2013-02-15,152.43,152.59,151.55,152.11,129.590041864,215103754,0.0,1.0
2013-02-19,152.37,153.28,152.16,153.25,130.56126432,95043470,0.0,1.0
2013-02-20,153.14,153.19,151.26,151.34,128.934040732,160357559,0.0,1.0
